DESARROLLO;% AVANCE;INICIO;FINALIZACION
BITACORAS DIRECTOS;1;12/03/2026;04/04/2026
CHECK HW;1;20/12/2025;30/03/2026
CHECK DOCUMENTACION;1;10/02/2026;08/04/2026
PBI ACTAS DE BAJA NOKIA;1;10/01/2026;25/02/2026
PBI GESTION DE CONTRATOS;1;18/03/2026;16/04/2026
ACTAS SISTEMATIZADAS / CASOS DE RECOLECCION - LOCAL;1;02/05/2026;15/06/2026
AUTOMATIZACION REPORTES RI;1;25/03/2026;20/05/2026
GESTION DE ACCESOS ESCALADOS;0.9;10/10/2025;17/06/2026
APP GESTION PENALIDADES INT / ONAIR / HALLAZGOS;0.9;20/03/2026;10/06/2026
GESTION DE ACTAS FIRMAS DE LIQUIDACION;0.9;27/03/2026;01/06/2026
BITACORAS EXTERNOS;0.8;01/05/2026;14/04/2026
AUTOMATIZACION AUDITORIA ACTAS PACC Y FACC SERV / LIC / TSS;0.85;01/06/2026;--
AUTOMATIZACION CHECK HW MEDIANTE IA;0.15;20/03/2026;--
AUTOMATIZACION CHECK DOC MEDIANTE IA;0.5;20/03/2026;--
AUTOMATIZACION AUDITORIA ACTAS PACC Y FACC HARDWARE;0.5;01/06/2026;--
